Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 1;Passeio;811235
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 1;Passeio;917483
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 1;Passeio;368713
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 1;Passeio;436955
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 1;Passeio;234157
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 1;Passeio;287420
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 1;Passeio;169688
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 1;Passeio;218641
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 1;Passeio;164348
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 1;Passeio;205173
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 1;Passeio;148134
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 1;Passeio;186129
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 1;Passeio;148042
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 1;Passeio;182868
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 1;Passeio;175907
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 1;Passeio;205778
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 2;Comercial;58328
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 2;Comercial;56523
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 2;Comercial;43185
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 2;Comercial;43540
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 2;Comercial;30853
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 2;Comercial;31172
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 2;Comercial;23417
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 2;Comercial;25659
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 2;Comercial;22289
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 2;Comercial;22895
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 2;Comercial;20139
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 2;Comercial;22591
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 2;Comercial;21043
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 2;Comercial;21919
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 2;Comercial;21631
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 2;Comercial;23484
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 3;Passeio;2007
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 3;Passeio;2220
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 3;Passeio;1550
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 3;Passeio;1916
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 3;Passeio;1162
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 3;Passeio;1493
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 3;Passeio;1118
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 3;Passeio;1412
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 3;Passeio;1066
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 3;Passeio;1352
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 3;Passeio;1039
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 3;Passeio;1218
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 3;Passeio;929
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 3;Passeio;1321
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 3;Passeio;1173
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 3;Passeio;1332
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 4;Comercial;35192
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 4;Comercial;38643
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 4;Comercial;36816
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 4;Comercial;36739
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 4;Comercial;31401
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 4;Comercial;30711
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 4;Comercial;30725
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 4;Comercial;28473
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 4;Comercial;30917
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 4;Comercial;27926
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 4;Comercial;26930
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 4;Comercial;26196
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 4;Comercial;25133
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 4;Comercial;24896
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 4;Comercial;26468
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 4;Comercial;25603
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 5;Passeio;224
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 5;Passeio;231
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 5;Passeio;224
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 5;Passeio;238
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 5;Passeio;183
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 5;Passeio;252
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 5;Passeio;159
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 5;Passeio;174
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 5;Passeio;145
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 5;Passeio;161
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 5;Passeio;197
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 5;Passeio;175
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 5;Passeio;148
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 5;Passeio;287
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 5;Passeio;231
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 5;Passeio;284
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 6;Comercial;20640
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 6;Comercial;20790
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 6;Comercial;32924
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 6;Comercial;31489
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 6;Comercial;26548
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 6;Comercial;25781
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 6;Comercial;26016
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 6;Comercial;24396
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 6;Comercial;26324
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 6;Comercial;23350
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 6;Comercial;20018
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 6;Comercial;21175
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 6;Comercial;19421
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 6;Comercial;20394
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 6;Comercial;20350
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 6;Comercial;21653
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 7;Comercial;13603
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 7;Comercial;13312
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 7;Comercial;22428
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 7;Comercial;19869
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 7;Comercial;19797
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 7;Comercial;16350
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 7;Comercial;18905
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 7;Comercial;14906
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 7;Comercial;18098
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 7;Comercial;14532
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 7;Comercial;15733
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 7;Comercial;13058
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 7;Comercial;15215
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 7;Comercial;12780
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 7;Comercial;15500
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 7;Comercial;12741
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 8;Comercial;24906
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 8;Comercial;26697
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 8;Comercial;44711
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 8;Comercial;46682
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 8;Comercial;40039
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 8;Comercial;43380
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 8;Comercial;40852
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 8;Comercial;45848
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 8;Comercial;38054
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 8;Comercial;46985
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 8;Comercial;34217
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 8;Comercial;31478
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 8;Comercial;33524
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 8;Comercial;30832
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 8;Comercial;32475
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 8;Comercial;30606
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 9;Moto;24146
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 9;Moto;27018
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 9;Moto;8793
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 9;Moto;9777
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 9;Moto;4503
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 9;Moto;4881
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 9;Moto;2393
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 9;Moto;2815
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 9;Moto;2111
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 9;Moto;2320
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 9;Moto;2074
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 9;Moto;2273
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 9;Moto;3335
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 9;Moto;3555
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 9;Moto;3578
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 9;Moto;3719
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Outros;Comercial;15979
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Outros;Comercial;17740
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Outros;Comercial;20100
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Outros;Comercial;28160
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Outros;Comercial;26232
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Outros;Comercial;27368
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Outros;Comercial;23353
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Outros;Comercial;27830
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Outros;Comercial;20501
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Outros;Comercial;26662
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Outros;Comercial;17291
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Outros;Comercial;16756
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Outros;Comercial;16913
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Outros;Comercial;16138
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Outros;Comercial;16283
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Outros;Comercial;16308
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 1;Passeio;722513
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 1;Passeio;765476
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 1;Passeio;319849
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 1;Passeio;324951
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 1;Passeio;194921
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 1;Passeio;197079
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 1;Passeio;130343
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 1;Passeio;134987
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 1;Passeio;123289
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 1;Passeio;125917
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 1;Passeio;114496
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 1;Passeio;117575
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 1;Passeio;111929
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 1;Passeio;114765
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 1;Passeio;139373
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 1;Passeio;142700
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 2;Comercial;54876
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 2;Comercial;53564
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 2;Comercial;40427
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 2;Comercial;40585
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 2;Comercial;28334
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 2;Comercial;28349
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 2;Comercial;20701
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 2;Comercial;22920
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 2;Comercial;18872
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 2;Comercial;20322
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 2;Comercial;17563
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 2;Comercial;19385
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 2;Comercial;17143
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 2;Comercial;18829
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 2;Comercial;18924
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 2;Comercial;20731
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 3;Passeio;1908
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 3;Passeio;1915
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 3;Passeio;1492
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 3;Passeio;1398
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 3;Passeio;1102
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 3;Passeio;1083
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 3;Passeio;987
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 3;Passeio;925
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 3;Passeio;903
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 3;Passeio;859
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 3;Passeio;895
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 3;Passeio;840
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 3;Passeio;862
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 3;Passeio;789
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 3;Passeio;1091
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 3;Passeio;1078
AUTOPISTA FERNÃO DIAS;01/02/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 4;Comercial;32089
AUTOPISTA FERNÃO DIAS;01/02/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 4;Comercial;35671
